# Wavelength(micron) (rp/rs)^2 Error_bars
1.258925411794167282e+01 1.096574722491012836e-02 1.000000000000000082e-05
1.254580400345803248e+01 1.098973558717389158e-02 1.000000000000000082e-05
1.250250385119064056e+01 1.097360565714116006e-02 1.000000000000000082e-05
1.245935314356514034e+01 1.098501603428303497e-02 1.000000000000000082e-05
1.241635136479347246e+01 1.099003322161009981e-02 1.000000000000000082e-05
1.237349800086776241e+01 1.094204474370768718e-02 1.000000000000000082e-05
1.233079253955416199e+01 1.097566604142875303e-02 1.000000000000000082e-05
1.228823447038672256e+01 1.095783151040788904e-02 1.000000000000000082e-05
1.224582328466133241e+01 1.097243226841528377e-02 1.000000000000000082e-05
1.220355847542957051e+01 1.095629655176193380e-02 1.000000000000000082e-05
1.216143953749268647e+01 1.095524725736498999e-02 1.000000000000000082e-05
1.211946596739555915e+01 1.098111360435852918e-02 1.000000000000000082e-05
1.207763726342066590e+01 1.094924745287360543e-02 1.000000000000000082e-05
1.203595292558212293e+01 1.096563321563952427e-02 1.000000000000000082e-05
1.199441245561965097e+01 1.096923730978437497e-02 1.000000000000000082e-05
1.195301535699265827e+01 1.098493006802642516e-02 1.000000000000000082e-05
1.191176113487429689e+01 1.095908192007898595e-02 1.000000000000000082e-05
1.187064929614553144e+01 1.093444465707428884e-02 1.000000000000000082e-05
1.182967934938930377e+01 1.095696600973495617e-02 1.000000000000000082e-05
1.178885080488457326e+01 1.096915431731744321e-02 1.000000000000000082e-05
1.174816317460051884e+01 1.098613206277501524e-02 1.000000000000000082e-05
1.170761597219068051e+01 1.094900567306169963e-02 1.000000000000000082e-05
1.166720871298719509e+01 1.094523871701109756e-02 1.000000000000000082e-05
1.162694091399492891e+01 1.094187831366323985e-02 1.000000000000000082e-05
1.158681209388574906e+01 1.094519673229672578e-02 1.000000000000000082e-05
1.154682177299276624e+01 1.094405137866516498e-02 1.000000000000000082e-05
1.150696947330458286e+01 1.091269575920510333e-02 1.000000000000000082e-05
1.146725471845963007e+01 1.096046657924928253e-02 1.000000000000000082e-05
1.142767703374039989e+01 1.091174337221956399e-02 1.000000000000000082e-05
1.138823594606782130e+01 1.092132357012974217e-02 1.000000000000000082e-05
1.134893098399558831e+01 1.092078527736977007e-02 1.000000000000000082e-05
1.130976167770452356e+01 1.095098570808489616e-02 1.000000000000000082e-05
1.127072755899699530e+01 1.094217590725280603e-02 1.000000000000000082e-05
1.123182816129126138e+01 1.093484187293633676e-02 1.000000000000000082e-05
1.119306301961593242e+01 1.096001420372434525e-02 1.000000000000000082e-05
1.115443167060441176e+01 1.095086172019895526e-02 1.000000000000000082e-05
1.111593365248933019e+01 1.092245202563274856e-02 1.000000000000000082e-05
1.107756850509708713e+01 1.092953785426071904e-02 1.000000000000000082e-05
1.103933576984227116e+01 1.096481209235446522e-02 1.000000000000000082e-05
1.100123498972222968e+01 1.096078604935749740e-02 1.000000000000000082e-05
1.096326570931159239e+01 1.092520641725172430e-02 1.000000000000000082e-05
1.092542747475681963e+01 1.091684624524419736e-02 1.000000000000000082e-05
1.088771983377081476e+01 1.096750394123187193e-02 1.000000000000000082e-05
1.085014233562746178e+01 1.090922928569872455e-02 1.000000000000000082e-05
1.081269453115626789e+01 1.088705091599159909e-02 1.000000000000000082e-05
1.077537597273700243e+01 1.093972979092328046e-02 1.000000000000000082e-05
1.073818621429431452e+01 1.091869853143515728e-02 1.000000000000000082e-05
1.070112481129246262e+01 1.091515843855416466e-02 1.000000000000000082e-05
